,Symbol,Security,GICS Sector, GICS Sub Industry,Location
391,DGX,Quest Diagnostics,Health Care,Health Care Services,"Madison, New Jersey"
392,RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida"
393,RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts"
394,O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California"
395,RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina"
396,REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida"
397,REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York"
398,RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama"
399,RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona"
400,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California"
401,RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California"
402,ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin"
403,COL,Rockwell Collins,Industrials,Aerospace & Defense,"Cedar Rapids, Iowa"
404,ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,"Atlanta, Georgia"
405,ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida"
406,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California"
407,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
408,CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California"
409,SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida"
410,SCG,SCANA Corp,Utilities,Multi-Utilities,"Cayce, South Carolina"
411,SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands"
412,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland"
413,SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey"
414,SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California"
415,SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio"
416,SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana"
417,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts"
418,SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York"
419,SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin"
420,SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia"
421,LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas"
422,SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York"
423,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut"
424,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington"
425,STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts"
426,SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services,"Lake Forest, Illinois"
427,SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan"
428,STI,SunTrust Banks,Financials,Regional Banks,"Atlanta, Georgia"
429,SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California"
430,SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California"
431,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut"
432,SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California"
433,SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas"
434,TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland"
435,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York"
436,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
437,TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota"
438,TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland"
439,FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom"
440,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas"
441,TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island"
442,TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,"Waltham, Massachusetts"
443,TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
444,TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California"
445,TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts"
446,TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas"
447,TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia"
448,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee"
449,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio"
450,TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York"
451,TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Newton, Massachusetts"
452,FOXA,Twenty-First Century Fox Class A,Communication Services,Movies & Entertainment,"New York, New York"
453,FOX,Twenty-First Century Fox Class B,Communication Services,Movies & Entertainment,"New York, New York"
454,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas"
455,UDR,UDR Inc,Real Estate,Residential REITs,"Highlands Ranch, Colorado"
456,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois"
457,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota"
458,UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
459,UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
460,UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska"
461,UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois"
462,UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota"
463,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia"
464,URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
465,UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut"
466,UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania"
467,UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee"
468,VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina"
469,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas"
470,VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California"
471,VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois"
472,VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia"
473,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey"
474,VZ,Verizon Communications,"Communication Services
",Integrated Telecommunication Services,"New York, New York"
475,VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts"
476,VIAB,Viacom Inc.,Communication Services,Movies & Entertainment,"New York, New York"
477,V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California"
478,VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York"
479,VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama"
480,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas"
481,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois"
482,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California"
483,WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas"
484,WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts"
485,WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin"
486,WCG,WellCare,Health Care,Managed Health Care,"Tampa, Florida"
487,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California"
488,WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio"
489,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California"
490,WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado"
491,WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia"
492,WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington"
493,WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan"
494,WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
495,WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom"
496,WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada"
497,XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota"
498,XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut"
499,XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California"
500,XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York"
501,YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky"
502,ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana"
503,ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah"
504,ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey"
